# modelid  snid     mu  mu_err   tdelay
  A         1    6.879   0.527      0.0
  A         2    9.526   1.075     97.6
  A         3    6.324   0.496    -82.7
  A         4    0.800   0.117   7320.1
  B         1    7.472   0.629      0.0 
  B         2    9.923   1.202     99.1
  B         3    6.281   0.527    -85.3
  B         4    0.860   0.137   6949.6
  C         1   13.257   2.709      0.0
  C         2   18.480   3.776     53.4
  C         3    8.942   1.612    -50.2
  C         4    1.137   0.294   5826.6
  D         1   12.719   2.324      0.0
  D         2   18.069   3.204     54.6
  D         3    8.699   1.346    -53.7
  D         4    1.103   0.239   5966.8
  E         1    5.020   1.217      0.0
  E         2    7.381   3.044     82.1
  E         3    3.907   0.534    -19.3
  E         4    0.377   0.187   7741.7
