NIMG ZLENS SIGMA ZSRC MAGH APMAG_H IMSEP EPSILON PHI KAPPA THETA XSRC YSRC TYP LENSID TIER DELAY MAG XIMG YIMG
2 0.441 218.273 1.311739 23.26 21.57291 1.537491 0.1199252 -103.356 0.03518677 -179.6834 0.02731973 -0.1248724 1 920093 SHALLOW 0.0,17.0153 -2.176827854179924,-1.6870883484753219 0.09359671,-0.2168954 -0.8925291,0.6132845
2 0.286 223.8721 0.997707 21.76 21.39629 2.138122 0.4122527 165.6059 0.09904916 -161.5576 0.6111524 -0.105049 2 574310 SHALLOW 0.0,67.57334 -0.5546129709675092,-0.36371200933971415 1.735305,-0.3943999 -0.1073394,0.08219328
4 0.502 157.7611 1.050328 24.14 21.81 0.5922901 0.265236 170.0784 0.03416761 131.7297 -0.01749872 -0.05311808 1 631882 SHALLOW 0.05345373,4.250785,0.1553463,0.0 -2.5368934051870906,-0.6343333588055579,-2.9019903857009854,-2.3299983329399847 -0.2976419,0.07018702,-0.112678,0.1521969 -0.1857435,0.2308673,-0.3324869,-0.3293809
4 0.372 72.4436 1.49428 22.26 21.70327 0.2135673 0.513149 125.4592 0.04640866 67.28609 -0.003786959 0.003998442 2 1125888 SHALLOW 0.07207678,0.1632104,0.1754542,0.0 -1.3156778875648816,-0.5567255115977842,-0.5176222511414681,-1.1036376714738787 0.04423998,-0.06986131,0.07618538,-0.05568975 -0.09164247,-0.05334374,0.03743987,0.09710346
2 0.921 261.8183 1.293319 21.66 20.54915 0.8671983 0.0796406 -36.2542 0.08353821 -139.2285 0.03858505 0.1059556 2 902275 SHALLOW 42.37453,0.0 -1.1108502736782468,-1.4239204664918512 -0.06349932,0.3047706 -0.3075919,0.477526
4 0.521 185.3532 1.909555 23.83 20.43374 1.459888 0.2092362 -14.87777 0.1454814 167.2553 -0.2115362 0.05185742 1 1591170 SHALLOW 0.0,29.64702,29.63044,29.6308 -0.7238196541263969,-3.3962609741242495,-5.164348779176679,-4.925568746473717 -0.9589494,0.404861,0.4714655,0.4731923 0.2291512,-0.2360982,-0.06271782,-0.01685861
2 0.763 108.6426 2.393969 23.06 21.95454 0.359847 0.2785465 -67.45323 0.03995235 155.1188 -0.04048314 0.02818994 5 2098894 SHALLOW 2.865847,0.0 -1.1302197041114226,-1.1054571839446605 0.1318376,-0.1743221 -0.0230633,0.1660296
2 0.603 258.8213 1.415726 21.93 21.29779 1.665469 0.2595665 102.982 0.06807047 -14.31926 0.1335665 0.1924661 5 1038947 SHALLOW 56.18142,0.0 -0.6322083943698963,-1.9338095370807307 -0.454323,0.3374401 -0.4422712,1.022958
2 0.512 252.9298 1.751098 22.55 21.32354 2.160671 0.323799 -134.6527 0.04603609 148.0747 -0.1731432 -0.2518616 2 1415971 SHALLOW 0.0,64.14703 -1.2264632356752516,-1.5439855125268098 -0.9215914,0.2435909 -1.052244,0.7673301
2 0.629 141.2538 1.172764 23.25 21.71603 0.4482007 0.00654511 -11.9572 0.03050789 97.39223 0.002836445 -0.05203892 2 766057 SHALLOW 0.0,4.105944 -1.5594268775267999,-1.5339745921353984 0.02123138,-0.00523948 -0.2771186,0.1702997
2 1.202 276.6942 1.829217 21.4 21.54935 1.130641 0.3585973 115.717 0.09048759 66.92403 -0.03546271 0.3515635 2 1506953 SHALLOW 186.2778,0.0 0.14935220227154594,-0.633031728378932 -0.00468127,-0.04652242 -0.1918545,0.938012
2 0.371 75.16229 0.7228846 22.9 21.85508 0.1458259 0.3288952 -120.1067 0.04485231 128.7457 -0.00809013 -0.0231451 2 306529 SHALLOW 0.0,0.3463403 -1.044918714167207,-1.6059431421671053 -0.02992391,0.01132561 -0.09225112,0.04761904
2 0.579 125.3141 1.680491 22.72 21.76854 0.5221254 0.156429 -39.20849 0.07159482 -60.80308 -0.07535336 0.05556677 2 1337875 SHALLOW 5.737629,0.0 -1.0946747453878105,-0.9514587241283344 0.145592,-0.2629624 -0.07144552,0.2536672
2 0.732 96.60509 1.773195 22.67 21.77297 0.2222591 0.5327949 20.51566 0.05997535 -88.1198 0.03238285 0.006599237 2 1442370 SHALLOW 1.469072,0.0 -1.0211655362715648,-0.8970320845037972 -0.07420176,0.1480025 0.05194954,0.05688734
2 0.906 143.5489 1.767654 25.6 24.29211 0.4077623 0.277924 100.2404 0.05348317 -134.1886 0.01081948 -0.04006782 1 1437252 MEDIUM 0.0,4.729442 -1.3078919461245664,-1.643451478356038 0.01352957,-0.1232876 -0.2635306,0.1205933
2 0.357 150.3142 1.43513 24.34 24.74361 0.9122391 0.2481604 -79.71308 0.04760531 -130.4016 -0.003691567 0.2988927 1 1059066 MEDIUM 16.58465,0.0 0.4036101563617023,-0.7504861962007408 -0.001664674,0.03667196 -0.1539167,0.7575165
2 0.633 117.4898 2.280514 25.28 24.27173 0.4532436 0.207679 -30.41996 0.02875875 76.42015 -0.06738601 0.003889921 1 1983904 MEDIUM 0.0,3.614323 -1.4267151167176197,-1.008273259567171 -0.2901942,0.1616795 0.05963849,0.02442497
4 0.258 199.0673 2.387188 24.85 23.57683 1.944662 0.3535199 41.80568 0.03602173 -159.2629 -0.09653777 0.04136667 5 2089333 MEDIUM 10.67086,0.0,5.090573,3.762986 -0.5451631160035291,-1.2731703303624144,-1.4548144415939355,-1.6999541942753633 0.5242639,-1.004995,-0.4123967,0.4894947 -0.5193679,-0.4084769,0.8123737,0.8357944
2 0.927 281.1901 1.712851 24.35 24.6832 1.39548 0.2349142 -81.9726 0.08963826 60.55482 -0.2924815 0.2028471 1 1376156 MEDIUM 138.9583,0.0 0.33320250904531035,-1.3300268244231255 0.3358496,-0.5992577 -0.1575026,0.8783244
2 1.271 257.0396 1.723724 25.01 24.51038 0.7436653 0.5500979 160.3474 0.03294228 -26.56125 0.194852 -0.07827172 1 1389389 MEDIUM 0.0,100.7258 -0.49962096756353636,-0.9818518303916873 0.5478702,-0.1393782 -0.2165205,0.06760573
4 0.521 132.4342 1.968331 24.98 23.7288 0.5336144 0.4776025 -129.7254 0.06524205 36.04784 -0.09848326 0.08073887 2 1655281 MEDIUM 6.556948,0.0,0.4853893,0.6122117 0.9476241291835903,-1.2511956544175926,-1.7699100331679714,-1.7990838257809274 0.1025284,-0.4068573,-0.06051654,-0.2435652 -0.08711681,-0.02938167,0.3765647,0.2828682
2 0.641 128.5287 2.247872 22.84 24.19921 0.5386065 0.2403332 4.869711 0.04276152 -92.83502 0.184203 -0.1099576 2 1950363 MEDIUM 0.0,13.6246 -0.8674956583104079,1.3592124796933789 0.4182757,-0.04792368 -0.2339782,0.03575347
2 0.863 192.7525 2.083299 26.32 24.42318 0.8999544 0.1426179 -12.30081 0.05190978 47.92176 -0.04706809 -0.001507927 4 1780813 MEDIUM 0.0,9.22521 -1.8968203712027276,-2.5668508819329494 -0.520619,0.3763244 -0.1132567,-0.1868123
2 0.389 224.9055 1.544668 24.1 23.90044 2.06976 0.4157521 -21.26997 0.03741162 -29.86486 0.4674393 -0.3552922 2 1182956 MEDIUM 0.0,83.06692 -0.6105566897893917,-0.19955610644314797 1.414411,-0.2656488 -0.8752595,0.3335863
4 0.564 226.9865 2.280514 26.55 24.75131 1.738521 0.3862423 9.320698 0.05548679 91.70194 0.003375438 0.08909924 5 1983471 MEDIUM 20.01971,4.042692,0.0,5.30464 -0.9510509413111607,-2.3101689190142864,-1.7986897240013677,-2.2006500711710006 0.1134412,-0.866583,0.7588556,-0.3542148 -0.7791495,0.360544,0.6384546,0.8952916
4 1.194 125.8925 1.956482 25.59 23.765 0.2548404 0.3664725 -39.20716 0.03153223 -92.20801 0.01572786 -0.0169364 5 1646385 MEDIUM 0.0,2.509939,2.439315,2.411496 -1.1175902539060645,-1.8250042529744424,-2.4375141730428136,-2.918551076300175 0.1019779,0.0126486,-0.102633,-0.0810713 -0.1114668,0.1034351,0.001333491,0.065837
2 1.414 139.3157 1.874849 26.39 24.73829 0.1568826 0.000779156 2.162998 0.05747161 -75.15207 0.006301884 0.004248884 2 1557412 MEDIUM 1.116178,0.0 -1.6517082066305204,-2.4109931321541755 -0.06988904,0.02674521 -0.0308785,0.09270944
2 1.292 196.336 1.659133 24.75 23.63103 0.3331194 0.2590258 159.8348 0.06991624 104.4626 -0.04480185 0.02201729 1 1317119 MEDIUM 13.26346,0.0 -1.4943070549194217,-1.1189655516829768 0.1128715,-0.1807142 -0.03027493,0.1271289
4 0.8 206.063 1.401275 25.58 24.35144 0.869946 0.3144884 -146.9691 0.05141542 -7.939446 -0.005166334 -0.00826076 2 1023814 MEDIUM 5.947291,0.0,1.64717,6.917929 -1.2285565772035285,-1.493366833064155,-1.6126117535032152,-1.1204779945806416 0.1758945,-0.4056746,0.4084899,-0.1277227 -0.3306347,-0.1768092,0.1296906,0.3385019
2 0.388 92.25714 2.903993 24.65 23.42364 0.3563031 0.06806846 33.64293 0.05154542 37.63064 -0.005480232 -0.03418079 1 2573195 MEDIUM 0.0,0.8004887 -1.6094784819117511,-1.2263604276049616 -0.1113157,-0.01983537 -0.1984,0.1459592
4 0.221 209.894 1.225541 25.85 24.51507 2.149303 0.4650459 31.26245 0.06965728 68.25057 0.2222066 0.1894124 2 821584 MEDIUM 22.14041,0.0,21.5232,21.68503 -1.3349277933450356,-0.7559279884967505,-2.5307049623362254,-2.039841143853988 -0.003215376,1.019171,-0.6302793,-0.7324048 -0.7535204,0.9374147,-0.440562,0.02192857
2 0.623 159.5879 1.723724 25.49 24.33413 0.701036 0.3328304 -75.67922 0.052511 -20.55296 -0.04267996 0.03552665 1 1386328 MEDIUM 6.658677,0.0 -1.155874808329458,-1.2894194321731716 0.3240011,-0.2799393 0.007769589,0.3637295
2 1.128 209.894 1.795469 24.84 24.15645 0.6607961 0.4701462 16.92882 0.06679519 -2.987852 -0.1082522 -0.005020431 1 1469041 MEDIUM 34.43572,0.0 -0.7304534821869986,-0.6835513504533862 0.168569,-0.4848446 -0.1579522,-0.05945255
4 0.447 354.8134 1.469461 24.67 23.89805 4.862216 0.3954808 -145.5665 0.05612538 34.09266 0.05922162 -0.1284631 2 1098549 MEDIUM 0.0,69.48053,9.47493,112.2952 -1.1478024221238519,-0.7719492335744971,-1.1923535489392765,-0.3572057615150351 -1.818409,1.16287,2.205109,-0.9436615 -1.69426,-1.61087,1.035657,1.441151
2 0.35 127.9381 2.676643 25.69 23.59451 0.6737182 0.09238694 -149.5131 0.04353679 -22.56634 -0.02484185 -0.007156778 1 2367564 MEDIUM 0.0,1.089765 -2.0954906936052975,-2.6073990802654197 -0.4008533,0.2044245 -0.03200306,0.2638601
