NIMG ZLENS SIGMA ZSRC MAGH APMAG_H IMSEP EPSILON PHI KAPPA THETA XSRC YSRC TYP LENSID TIER DELAY MAG XIMG YIMG
2 0.719 231.2065 3.047098 24.75 24.47445 1.961201 0.4851505 68.08382 0.04535171 -165.259 -0.3485074 -0.4685233 1 2697685 MEDIUM 0.0,143.4648 -0.6034160007833187,-0.27554974397075443 -0.9237299,0.2982297 -1.27714,0.2568496
4 0.509 162.181 1.58571 24.04 22.93075 0.8554564 0.5300644 -157.181 0.05212417 97.05043 -0.01298338 -0.05827661 2 1230302 MEDIUM 0.0,3.848141,3.252417,7.242098 -1.1092547791055847,-1.2732808984942934,-1.7144998477935416,-0.23963740092261962 -0.3625088,0.2629479,0.4209671,-0.1003751 -0.3434461,-0.3301058,2.309188e-05,0.3149124
2 0.146 157.0363 1.950575 25.08 24.15956 1.263948 0.1537147 155.4413 0.1501752 83.50661 0.09100221 0.1106855 1 1634366 MEDIUM 4.120383,0.0 -0.9204400467834385,-1.3036794666150553 -0.385614,0.2484926 -0.2684885,0.8248887
2 1.094 147.5707 1.288737 25.82 24.71455 0.1228289 0.3252029 -16.04776 0.04140769 132.8941 -0.01260919 0.0009403401 5 897300 MEDIUM 0.0,1.920371 -1.1054458091983548,-1.1529210089218143 -0.08092617,0.04156842 0.02472972,0.03378585
2 0.688 62.80584 1.729177 25.21 24.66634 0.1031522 0.2721203 52.27666 0.03316992 74.56547 0.003128371 -0.01417877 1 1392870 MEDIUM 0.0,0.260404 -1.1986949741735284,-0.5436585336100768 -0.0105524,-0.02073879 -0.07068447,0.03196355
2 0.547 227.5097 1.601271 23.29 23.11748 1.647362 0.1110366 122.3786 0.04567309 69.94678 0.2247353 -0.3317607 2 1248336 MEDIUM 0.0,71.48016 -1.090173934912549,-0.17252096477031867 0.555956,-0.2584175 -1.094108,0.3378831
2 0.206 118.8502 0.9897321 24.49 23.98199 0.5931751 0.185746 -76.26058 0.06202516 6.850019 -0.05188186 0.1130364 1 565441 MEDIUM 2.426242,0.0 -0.5080113930688833,-1.2976230992628843 0.07539744,-0.1974359 -0.1608952,0.3658103
2 0.892 140.6048 1.94468 25.66 24.5738 0.4814786 0.05345493 178.4187 0.05877955 -54.03195 -0.03302288 0.06590294 2 1632113 MEDIUM 7.801004,0.0 -1.0862030948872308,-1.2521428452613317 0.05696246,-0.1688872 -0.1525879,0.2726339
4 0.908 239.3316 1.11277 25.4 24.22623 0.4807802 0.2946829 166.0188 0.09170916 -166.6161 0.02039998 -0.03220277 5 701513 MEDIUM 6.449182,0.0,14.37086,6.841797 -1.98647871065414,-1.173770081825161,-0.43315948314761205,-1.8377287518364647 -0.2112784,0.2678354,-0.02158648,-0.1007365 -0.1216638,-0.08166771,0.1653303,-0.2063256
2 1.047 334.195 4.517915 25.64 24.76812 3.521749 0.3196232 123.3642 0.06931423 135.0094 -0.3468552 0.3109528 5 3720603 MEDIUM 351.1247,0.0 -1.1402645851563011,-0.8718755616204059 1.341323,-1.661725 -0.02053142,1.819148
