NIMG ZLENS SIGMA ZSRC MAGH APMAG_H IMSEP EPSILON PHI KAPPA THETA XSRC YSRC TYP LENSID TIER DELAY MAG XIMG YIMG
2 0.395 133.0454 1.321004 24.53 24.31053 0.6436665 0.02676213 35.39381 0.07802612 85.31826 0.1018617 0.1030942 1 930274 MEDIUM 6.835326,0.0 -0.2194730592149047,-1.0780812271942923 -0.1307475,0.2603685 -0.1106541,0.4005551
2 0.451 127.0574 1.812293 25.03 24.45241 0.590018 0.176032 -117.2501 0.09777819 120.5042 0.05222708 0.09721564 1 1483877 MEDIUM 5.255074,0.0 -0.5775902478664264,-1.1841253663553948 -0.1152959,0.08550915 -0.1462697,0.4085263
4 0.941 205.1162 2.189933 25.91 24.45462 0.8276008 0.6477018 -48.34637 0.06654055 52.67522 -0.183094 -0.1388953 1 1892444 MEDIUM 0.57856,1.624093,0.0,43.13542 -1.5299173325503856,-1.652310662452483,-1.4553803636418137,1.4260702365018565 -0.2241877,-0.4877213,-0.6433131,0.1301613 -0.6243271,-0.4422745,-0.0869667,0.1083107
2 0.997 149.6236 1.489296 23.6 24.17418 0.2994801 0.3826987 -89.55643 0.08095333 -62.40116 0.06374914 -0.03536194 2 1124208 MEDIUM 0.0,9.690986 -0.8315540823843073,0.5741751106507932 0.1471052,-0.06831687 -0.1911121,0.01693048
4 0.352 132.1296 1.134004 24.87 23.36278 0.5508141 0.3067276 -91.3934 0.1044028 105.365 0.09959925 0.006790896 2 721246 MEDIUM 0.0,3.721552,0.3058576,0.2142446 -1.507217692795407,0.3420171316730136,-2.0992042423238955,-1.9351736210383312 0.2845753,-0.1717841,0.3453911,0.2392749 -0.270506,-0.01115022,0.07132986,0.2784421
2 0.691 147.9108 1.611696 24.59 24.02361 0.5875946 0.577422 -60.73501 0.08205012 -103.3176 -0.07589475 0.1167785 1 1261349 MEDIUM 14.00603,0.0 -0.82571881370857,-0.5663921505958533 0.1397254,-0.1813415 -0.07271534,0.419406
4 0.336 211.3489 1.372632 25.5 24.62229 1.883033 0.3923447 68.08159 0.02636451 41.4851 0.008897758 -0.01554741 2 988209 MEDIUM 0.0,7.505787,8.781957,1.079105 -1.3142183664914135,-0.8777051763035847,-0.7555193099791996,-1.3688463684802468 -0.3738318,0.7242176,-0.6792643,0.4542232 -0.8756637,-0.3049133,0.3326856,0.81553
2 0.64 189.6706 1.358439 24.75 24.13206 1.038464 0.2486844 136.6586 0.1107501 127.3738 0.1644046 -0.2057736 1 974479 MEDIUM 0.0,43.06557 -0.6179420517291061,-0.6224580915017462 0.5176052,-0.1269239 -0.630673,0.1835689
2 0.877 184.5015 2.267418 24.93 24.33821 0.9400796 0.4504205 -63.33067 0.03663901 4.157166 0.1464958 -0.2115028 1 1971980 MEDIUM 0.0,45.83724 -0.6948632251074456,-0.5917908331315319 0.4161086,-0.1428399 -0.5916801,0.1641811
4 1.002 90.99133 1.718282 26.14 24.29441 0.1254786 0.3939504 -111.5322 0.03990151 -137.0447 0.02079376 -0.009920088 2 1382584 MEDIUM 0.01882779,0.9537212,0.0,0.03371712 -2.170012756584178,0.31706715603758484,-1.8455921867653093,-2.4355059307660545 0.04232827,-0.03675915,0.0861713,0.07500033 -0.07423268,0.01685544,0.02038622,-0.04019452
