NIMG ZLENS SIGMA ZSRC MAGH APMAG_H IMSEP EPSILON PHI KAPPA THETA XSRC YSRC TYP LENSID TIER DELAY MAG XIMG YIMG
2 0.087 73.62071 0.2214028 22.0 20.08427 0.1835749 0.06069581 -24.67659 0.03503714 57.67962 0.01321773 0.0005153592 1 10028 SHALLOW 0.0439896,0.0 -1.9157290360966117,-2.2132420155411947 -0.07877592,0.1041007 0.003185195,0.01918145
2 0.168 202.3019 0.3152148 22.05 20.29613 1.037879 0.1194333 124.148 0.03765972 -147.8237 0.06801005 -0.06402259 2 36418 SHALLOW 0.0,4.370707 -2.0120225959597793,-1.7538659982666989 0.4526968,-0.3165866 -0.40803,0.288673
2 0.308 111.4295 0.450633 22.74 21.5377 0.1908323 0.2742823 6.059089 0.1365421 66.0919 -0.01869992 -0.004255699 1 103798 SHALLOW 0.0,0.5628906 -1.2454137224872615,-1.2023018291756298 -0.1083601,0.07559312 -0.07553994,-0.02476397
2 0.153 177.4189 0.4535372 22.72 21.03268 1.092444 0.2819074 137.1506 0.08341402 -144.7348 -0.07431057 0.08484202 2 104484 SHALLOW 3.71258,0.0 -1.687316044324045,-1.701641795300128 0.2072133,-0.524997 -0.3998927,0.410849
4 0.309 128.5287 0.5219616 23.09 21.7416 0.3131313 0.4653467 104.1851 0.04468955 -60.39101 0.05557311 0.02161944 2 148585 SHALLOW 0.1179269,1.876518,0.1898622,0.0 -1.604991835173277,0.6078470417390927,-1.6637974618072446,-1.3483982549917497 0.1920574,-0.08716524,0.2024488,0.08861011 -0.09690273,-0.02780028,0.03852681,0.1986474
2 0.136 137.4042 0.5250085 21.53 21.6018 0.7449785 0.1035348 -138.2619 0.03733931 83.21219 0.1541511 -0.08469627 2 149454 SHALLOW 0.0,3.017134 -1.571941901573437,0.0718035343262981 0.4659743,-0.174254 -0.2809076,0.1000132
2 0.275 181.9701 0.574598 22.93 21.89181 0.8664181 0.08285952 -64.81204 0.05041634 160.3668 0.0121358 0.09651 2 185260 SHALLOW 5.893451,0.0 -1.038188111792662,-1.953816524782591 -0.09627427,-0.1028459 -0.3325197,0.5338735
2 0.407 205.1162 0.6160744 20.49 21.50608 0.7559564 0.3849046 17.3834 0.03476961 130.5451 0.2880616 0.09094015 2 217535 SHALLOW 0.0,34.77531 -0.6191593798682197,1.0160809939411006 0.6509928,-0.0783658 0.173049,-0.02571252
4 0.332 151.3561 0.6619639 23.07 21.44612 0.6507188 0.1633065 171.2212 0.07909168 132.0081 -0.01481407 0.009220888 2 254186 SHALLOW 1.37062,0.0,1.349464,0.9584378 -1.6238772027211543,-1.5631056459036043,-1.6743195609743973,-2.1005857320517003 -0.06727999,-0.2875253,0.197869,0.2580988 -0.2664923,0.1891759,0.1828324,-0.1654074
2 0.371 75.16229 0.7228846 22.9 21.85508 0.1458259 0.3288952 -120.1067 0.04485231 128.7457 -0.00809013 -0.0231451 2 306529 SHALLOW 0.0,0.3463403 -1.044918714167207,-1.6059431421671053 -0.02992391,0.01132561 -0.09225112,0.04761904
4 0.308 241.5461 0.7682671 22.51 21.94381 2.08911 0.5678929 177.3033 0.0727747 -159.5438 0.2179204 -0.05792531 2 346499 SHALLOW 31.81285,29.1579,0.0,36.83988 -0.5661897845805003,-1.3289639039071997,-0.6538298225581964,-0.07690094289536711 -0.2607155,-0.8012038,1.276726,-0.1955891 -0.7032676,-0.2421128,-0.0262673,0.5899671
2 0.126 147.2313 0.7789085 20.21 21.15971 0.9333303 0.3045252 -1.47779 0.03481925 -156.6036 -0.1420459 0.2673088 2 355200 SHALLOW 5.492574,0.0 0.9497085525471018,-1.1537080491467122 0.05831404,-0.5232981 -0.1623703,0.5675838
4 0.459 184.0772 0.7860384 23.43 21.9593 0.7081542 0.2776004 175.0456 0.04013562 36.85902 -0.03188827 0.02140246 1 364180 SHALLOW 5.021065,0.0,3.042676,2.964116 -1.1600018210245708,-1.4706957981892845,-2.4569721646101073,-2.618084919429365 0.09743545,-0.4012604,0.1479088,0.288156 -0.2808557,0.0442393,0.3165415,0.2060643
2 0.215 260.016 0.9620699 23.57 21.77911 2.919194 0.0512 154.0886 0.0423002 -64.22377 0.0844395 -0.1526821 2 536502 SHALLOW 0.0,18.24563 -1.7908861976699673,-3.0759013017036585 0.8716909,-0.2913058 -1.416735,1.260789
4 0.649 195.8845 0.9778294 24.31 20.79362 0.6199075 0.2909403 -18.9756 0.06082569 -86.85487 0.03570901 -0.02409438 1 556063 SHALLOW 0.0,6.696162,6.66893,6.667218 -1.504765559657303,-3.5163840870972645,-4.772559766446039,-5.049358456565094 0.2815937,-0.1063085,-0.2504675,-0.2268664 -0.2138785,0.2546128,0.08318646,0.1407391
2 0.286 223.8721 0.997707 21.76 21.39629 2.138122 0.4122527 165.6059 0.09904916 -161.5576 0.6111524 -0.105049 2 574310 SHALLOW 0.0,67.57334 -0.5546129709675092,-0.36371200933971415 1.735305,-0.3943999 -0.1073394,0.08219328
2 0.726 160.3245 1.025872 22.22 21.96192 0.3210975 0.3801579 -169.3145 0.02850675 153.3526 -0.04199857 -0.04346288 2 607059 SHALLOW 0.0,7.182914 -0.9815630240553166,-0.25808408665637395 -0.2095356,0.03638226 -0.1077454,0.09872012
4 0.502 157.7611 1.050328 24.14 21.81 0.5922901 0.265236 170.0784 0.03416761 131.7297 -0.01749872 -0.05311808 1 631882 SHALLOW 0.05345373,4.250785,0.1553463,0.0 -2.5368934051870906,-0.6343333588055579,-2.9019903857009854,-2.3299983329399847 -0.2976419,0.07018702,-0.112678,0.1521969 -0.1857435,0.2308673,-0.3324869,-0.3293809
2 0.701 246.6039 1.070935 22.54 21.95412 0.9067966 0.2397662 -130.823 0.04576374 54.70507 -0.1240673 -0.01488033 2 655194 SHALLOW 0.0,35.27513 -1.190019362608896,-0.5858755376072032 -0.5498208,0.3287929 -0.3120797,-0.08776272
2 0.449 140.2814 1.12974 22.33 21.71203 0.5312701 0.197653 68.30048 0.0716854 -80.49582 0.05937333 0.03080205 2 717390 SHALLOW 4.051457,0.0 -0.6179746216613342,-1.4185999617204277 -0.2080105,0.196259 -0.0364833,0.308211
4 0.601 268.5344 1.134004 23.57 21.58616 1.509823 0.2276111 36.312 0.01747258 -5.524857 0.04596118 -0.04507558 1 723163 SHALLOW 4.297999,5.716977,0.0,21.32962 -2.470146626263146,-2.5004092454112796,-1.983838471898247,-1.2758848976070807 -0.3878703,0.2880153,0.8674838,-0.4105552 -0.7349586,-0.7693087,0.103881,0.5687527
2 0.629 141.2538 1.172764 23.25 21.71603 0.4482007 0.00654511 -11.9572 0.03050789 97.39223 0.002836445 -0.05203892 2 766057 SHALLOW 0.0,4.105944 -1.5594268775267999,-1.5339745921353984 0.02123138,-0.00523948 -0.2771186,0.1702997
2 0.623 319.1538 1.252408 21.84 20.79876 2.558427 0.2552578 151.3772 0.06693923 -160.7659 -0.3746447 0.001382003 2 854985 SHALLOW 0.0,157.7822 -1.0412376314257166,-1.583496902182786 -1.690469,0.8595371 0.06142856,0.2688339
2 0.266 137.7209 1.261436 22.5 21.68645 0.8292824 0.09430084 -64.7517 0.05469524 -34.73743 0.07329128 -0.1399201 2 862313 SHALLOW 0.0,5.661772 -1.065391310071659,-0.8135515634796874 0.3260671,-0.09677187 -0.4823865,0.2309974
2 0.921 261.8183 1.293319 21.66 20.54915 0.8671983 0.0796406 -36.2542 0.08353821 -139.2285 0.03858505 0.1059556 2 902275 SHALLOW 42.37453,0.0 -1.1108502736782468,-1.4239204664918512 -0.06349932,0.3047706 -0.3075919,0.477526
2 0.441 218.273 1.311739 23.26 21.57291 1.537491 0.1199252 -103.356 0.03518677 -179.6834 0.02731973 -0.1248724 1 920093 SHALLOW 0.0,17.0153 -2.176827854179924,-1.6870883484753219 0.09359671,-0.2168954 -0.8925291,0.6132845
4 0.565 177.0109 1.316367 23.91 21.8768 0.7594688 0.1725949 -1.664504 0.09506432 -158.6632 0.03093656 -0.1005769 2 926359 SHALLOW 0.0,10.78975,0.6158975,0.5982901 -2.0332000340586225,-0.2597212994702052,-3.432642472393952,-3.279957028978466 0.4220682,-0.06593228,-0.03446168,-0.1697842 -0.2677368,0.2770061,-0.4818103,-0.4646206
