MODEL image MU ERR_MU TDELAY
C SN.1 6.879 0.527 0.0
C SN.2 9.526 1.075 97.6
C SN.3 6.324 0.496 -82.7
C SN.4 0.800 0.117 7320.1
D SN.1 7.472 0.629 0.0
D SN.2 9.923 1.202 99.1
D SN.3 6.281 0.527 -85.3 
D SN.4 0.860 0.137 6949.6
E SN.1 13.257 2.709 0.0
E SN.2 18.480 3.776 53.4
E SN.3 8.942 1.612 -50.2
E SN.4 1.137 0.294 5826.6
F SN.1 12.719 2.324 0.0
F SN.2 18.069 3.204 54.6
F SN.3 8.699 1.346 -53.7
F SN.4 1.103 0.239 5966.8
H SN.1 5.020 1.217  0.0
H SN.2 7.381 3.044 82.1
H SN.3 3.907 0.534  -19.3
H SN.4 0.377 0.187 7741.7
