# ra dec label
24.51642037 -21.93032639  H1
24.51320906 -21.92990322  H2
24.50990183 -21.92601304  H3
24.51761179 -21.92334337  H4
24.51512533 -21.93066599  SN1
24.51231984 -21.92978758  SN2 
24.51007534 -21.92734181  SN3
24.51726212 -21.92354698  SN4 
#24.5172975  -21.9235161  SN4 # from JR's .reg file
#24.5157150  -21.9254844  SN5 # from JR's .reg file
# SN4 and 5 have small offset to match PNG for fig:
24.5155970  -21.9254592  SN5 
24.5169659  -21.9234814  3.1
24.5151039  -21.9231406  3.2
24.5184361  -21.9264250  3.3
24.5146833  -21.9261020  3.4
